,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
53,2023-10-28,618483.9573248717,102815.4993195973,115109.48877940707,303174.54504280054,941351.2275859797,-508975.30330196925,-832765.2656610447,-191460.1850605954,-514018.0883645308,-838354.5803222071,-199004.8156733742,7124.2626286004015,6401.616924494391,7893.188178680599,-2081.4775660388086,-4675.982952498318,876.8039554121037,0.0,0.0,0.0,109508.65402290242
54,2023-10-29,618392.9848057394,85158.97724868257,96451.27891974033,303126.3321619219,941246.3756086102,-527659.7395403135,-851456.7001742541,-210781.83895954234,-514018.08836973656,-838354.5803256766,-199004.81568662942,-12104.955609794944,-12898.652081096883,-11291.247827451916,-1536.6955607819407,-4192.309400051779,1480.4533608058712,0.0,0.0,0.0,90733.24526542588
55,2023-10-30,618302.0122866072,81743.76397202573,93411.85406188577,303078.11928104324,941141.5236312406,-529890.5565829934,-853535.3446065891,-211555.5063320847,-514018.0883713935,-838354.5803222065,-199004.815683401,-14787.103762442792,-15472.984997045714,-13974.63640043564,-1085.3644491571083,-3784.9997395542705,1950.8663227038605,0.0,0.0,0.0,88411.45570361381
56,2023-10-31,618211.0397674749,99233.11769983484,110195.90204266613,303029.9064001646,941036.671653871,-514495.01440215606,-838000.421486586,-197482.79196010355,-514018.08837659913,-838354.5803256761,-199004.81569665618,266.23054238446144,-417.9134841556205,866.0564715227049,-743.1565679413712,-3471.901236332127,2226.9864502241153,0.0,0.0,0.0,103716.02536531881
57,2023-11-01,618120.0672483427,104165.84336475779,115679.22070109902,302981.69351928594,940931.8196765014,-508772.53782038507,-831359.0025876702,-191188.19481016556,-514018.0883582036,-838354.5803210865,-199004.81566230446,5769.321224326385,5060.470905723316,6468.614036736465,-523.7706865079776,-3273.165610254886,2358.2145354588406,0.0,0.0,0.0,109347.5294279576
58,2023-11-02,618029.0947292104,107058.3753067708,117794.10642732515,302933.4806384074,940826.9676991322,-504589.36243483564,-828979.2562753076,-187032.65348744957,-514018.08835986035,-838354.5803176165,-199004.815659076,9867.114547258396,9210.163560612968,10416.297567007221,-438.3886222336219,-3216.3904646719634,2457.5841306323423,0.0,0.0,0.0,113439.73229437473
59,2023-11-03,617938.8050438174,101973.2985619106,113399.8974326225,302897.54467994976,940736.9881633855,-510648.14512335154,-835784.0030666043,-191804.9922404167,-514018.08836506616,-838354.580321086,-199004.8156723312,3865.130429588077,3307.4001099507304,4399.179374859954,-495.1871878734238,-3281.2358079357955,2463.9420396625105,0.0,0.0,0.0,107290.65992046584
60,2023-11-04,617848.5153584245,104514.74180466481,115811.99071734006,302861.6087214921,940647.0086276389,-507592.74838221073,-831972.0665515614,-189788.43474756938,-514018.08837027184,-838354.5803245555,-199004.81568558645,7124.262628631168,6401.616924525913,7893.188178707714,-698.9226405699604,-3467.9106797722334,2010.953173877643,0.0,0.0,0.0,110255.76697621378
61,2023-11-05,617758.2256730316,84059.42928226946,97215.83252935478,302825.6727630346,940557.0290918924,-527173.6469864259,-851771.3097075657,-210410.5416982788,-514018.0883719287,-838354.5803210854,-199004.81568235793,-12104.95560972036,-12898.652081032124,-11291.247827376174,-1050.6030047766942,-3816.4965693668814,1736.7950603457725,0.0,0.0,0.0,90584.57868660579
62,2023-11-06,617667.9359876388,82113.81368227297,93757.2118593293,302789.736804577,940467.0495561458,-530352.4534763148,-854993.6921828287,-212637.20233572248,-514018.0883771344,-838354.5803245549,-199004.81569561316,-14787.103762418014,-15472.984997019006,-13974.636400412493,-1547.261336762312,-4281.834163563762,1149.1287323298961,0.0,0.0,0.0,87315.482511324
63,2023-11-07,617577.646302246,95448.6804986844,108230.36130134402,302753.8008461194,940377.0700203993,-515933.6980879104,-840609.2609631312,-199941.93751642006,-514018.08838234015,-838354.5803280245,-199004.81570886835,266.2305424016112,-417.9134841387658,866.0564715418533,-2181.8402479718843,-4770.11540901256,464.9498921782068,0.0,0.0,0.0,101643.9482143356
64,2023-11-08,617487.3566168532,101037.70148076565,112467.01018818606,302717.8648876618,940287.0904846527,-511191.96202386677,-835018.8306828965,-194986.0793333329,-514018.0883639445,-838354.5803234349,-199004.8156745167,5769.321224340987,5060.47090573926,6468.6140367465205,-2943.1948842631164,-5469.436981961133,-279.7787622223092,0.0,0.0,0.0,106295.39459298638
65,2023-11-09,617397.0669314602,103812.86710969171,116022.99226498394,302681.92892920424,940197.110948906,-507967.19197387516,-833785.7458972647,-192707.72691811406,-514018.0883656015,-838354.5803199648,-199004.81567128818,9867.114547259036,9210.163560610921,10416.297567006524,-3816.218155532734,-6377.808274160956,-1286.7968280112054,0.0,0.0,0.0,109429.87495758501
